ln_kingdom;ln_phylum;ln_class;ln_order;ln_family;ln_genus;ln_species;HNSm-1;HNSm-2;HNSm-3;HNS+s-1;HNS+s-2;HNS+s-3;BF-1;BF-2;BF-3;BF+s-1;BF+s-2;BF+s-3;Probio+s-1;Probio+s-2;Probio+s-3;Probio+BF-1;Probio+BF-2;Probio+BF-3;soil-1;soil-2;soil-3;HNS+Bf bassin;HNS bassin;BF;HNS;RAS;Soil;WS
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Herbaspirillum chlorophenolicum;0;14;7;0;5;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;1;0;0;1;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia norwichensis;1;4;3;0;1;1;0;19;0;0;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;Rheinheimera aquatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas arsenicoxydans;1;3;0;0;0;0;0;1;3;0;0;0;4;5;2;1;0;7;2;1;3;0;0;0;0;0;1;0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium binotii;0;0;0;0;0;11;15;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus castaneae;0;0;3;2;1;5;14;0;3;1;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas parvus;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;2;0;2;0;24;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax delafieldii;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;8;0;11;10;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Herbaspirillum autotrophicum;0;2;6;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;1;4;2;0;0;3;0;3;5;2
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Photorhabdus;Photorhabdus luminescens;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;1;0;1;0;2;4;0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella dresdenensis;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;6;1;2;2;2;16
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas nitroreducens;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;4;3;0;4;2;0;0;1;0;17;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;Dokdonella ginsengisoli;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;29;0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas indica;0;0;0;0;0;0;2;1;0;0;1;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;Luteolibacter pohnpeiensis;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;28;0
Eukaryota;Streptophyta;unclassified Streptophyta;asterids;Convolvulaceae;Cuscuta;Cuscuta gronovii;0;1;1;2;5;2;2;2;2;2;0;3;0;3;1;0;0;0;0;3;2;2;2;0;0;0;0;0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium frederiksbergense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;15;4;1;0;13;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Falsirhodobacter;Falsirhodobacter deserti;0;0;8;2;5;0;0;0;0;0;0;0;0;0;1;4;0;0;3;2;3;0;1;1;0;5;1;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Xylophilus;Xylophilus ampelinus;1;0;0;0;2;0;0;0;1;2;0;0;1;5;6;8;2;0;0;6;0;0;0;0;0;0;2;0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae;Thioprofundum;Thioprofundum lithotrophicum;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;3;2;0;2;1;7;2;0;2;0;0;10
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Gynumella;Gynumella flava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;35;0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium obuense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;35;0;0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter;Parviterribacter kavangonensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;32;0;0;2;0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium rivuli;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;26;0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter dorajii;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;27;0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter composti;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;13;14;0;5;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia bryophila;0;0;0;6;1;2;1;0;0;0;0;0;5;6;2;0;0;3;1;1;0;0;0;0;0;0;9;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia phenazinium;0;0;1;4;4;3;1;0;1;2;0;1;1;4;0;1;0;0;1;3;0;0;0;2;0;1;7;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Paraherbaspirillum;Paraherbaspirillum soli;2;5;0;2;0;0;2;3;8;0;0;0;1;0;0;1;0;0;1;6;1;1;0;0;2;1;1;0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium;Uliginosibacterium gangwonense;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;26;0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella wadsworthii;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;26;0;4;0;0;0
Eukaryota;Streptophyta;unclassified Streptophyta;Piperales;Piperaceae;Piper;Piper cenocladum;0;5;6;0;1;1;4;5;2;3;0;2;1;0;0;3;0;0;1;0;1;0;2;0;0;0;0;0
Bacteria;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella;Gaiella occulta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;16;20
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;1
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas rubra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;2;31;0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;Dyadobacter alkalitolerans;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;12;18;0;0;0;0;0;0;0;0;1;0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium humi;10;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;10;0;0;0;0;0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium denitrificans;0;0;0;0;0;0;0;0;0;0;0;0;0;27;2;0;2;1;0;0;1;0;0;0;0;0;5;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;Roseomonas riguiloci;0;1;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;14;5;0;1;0;0;0;0;1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Ampullimonas;Ampullimonas aquatilis;0;0;2;14;2;9;3;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;Simplicispira piscis;0;2;1;1;0;0;1;0;0;0;2;0;1;1;1;1;1;0;1;2;0;4;15;0;3;1;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;Undibacterium seohonense;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;20;3;0;0;3;3;0
Eukaryota;Streptophyta;unclassified Streptophyta;Lycopodiales;Lycopodiaceae;Huperzia;Huperzia lucidula;1;4;1;0;3;5;4;1;1;0;1;4;0;1;0;1;0;3;1;3;2;0;1;0;0;0;1;0
Bacteria;Acidobacteria;Solibacteres;Solibacterales;unclassified Solibacterales;Bryobacter;Bryobacter aggregatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;19;13
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola bigeumensis;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;36;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Chelativorans;Chelativorans composti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;5;0;3;23;5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia dura;0;4;6;0;5;14;0;1;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;2;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas congelans;0;16;0;0;6;0;0;0;0;0;0;0;5;5;1;0;0;0;2;2;0;0;0;0;0;0;2;0
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria;ectosymbiont of;1;2;0;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;1;9;0;1;1;1;0;6;12;0
